COMPANY,DESCRIPTION,CITY,CATEGORY,JOINED,FOLLOWERS
Bidio,Sponsored Authenticity,New York City,Online Video Advertising,Feb ’17,7
MyFab5,Restaurant Recommendations & Marketing Services by Social Influencers,Ann Arbor,Social Media Marketing,Oct ’12,39
Waypoint Media,Turning gaming's content creators into media sellers,New York City,Influencer Marketing,Mar ’15,15
Ubby,Your social influence easily converted into cash,San Francisco,Mobile Advertising,Jan ’16,24
Sociolus,Intelligent Marketing Automation,London,Marketing Automation,Oct ’12,26
Verb,Influencer Marketing and Analytics,Fort Lauderdale,Influencer Marketing,Apr ’17,2
Galore Media,"Intersection of Media + Talent for the mobile first, 20-something woman",Los Angeles,Mobile Advertising,Sep ’13,18
Recurrency,Recurring crowdfunding. Not active right now.,San Francisco,Crowdfunding,Mar ’16,1
gen.video,gen.video is an influencer video marketplace connecting content creators and brands.,New York City,Platform For Influencers,Nov ’15,7
Mauldin Consulting,Public Relations Evolved,California,Public Relations,Mar ’16,1
Maven,Connecting Influencers with Brands at Scale,Seattle,Online Marketplaces,Dec ’15,6
People Spread,Search engine to find influencers and request sponsored posts focused on startups.,Palo Alto,Advertising Platforms,Aug ’15,8
Yappee,Influencer-centric marketing and discovery,Solana Beach,Mobile Commerce,Aug ’14,27
Adproval,Building relationships between brands and their Influencers.,Bloomington,Influencer Marketing,Dec ’12,26
Delmondo,Creative Studio and Social Video Analytics,New York City,Content Creators,Nov ’14,28
Immerss.live,An evolved online QVC using influencers,Dallas,Live Entertainment,Jan ’17,4
Level Sleep,A better mattress for better sleep,Sonoma,Medical Professionals,Oct ’15,4
InstaBrand,"It's your story, have the right people share it.",Milan,Social Media Marketing,Sep ’13,96
Adsthetic,Influencer marketing intelligence platform,New York City,Influencer Marketing,Sep ’16,6
Tawkers,Create and Manage Real-Time Messaging Between Influencers,Tel Aviv-Yafo,Messaging,Jul ’14,17
Bytion,Digital disruption for a better tomorrow,West Palm Beach,Social Media Marketing,Mar ’17,3
Vinq,Influencer Marketing Platform in Mexico,Mexico City,Social Media Marketing,May ’16,3
Vizified,Pinterest Influencer Marketing Platform,California,Social Media Marketing,Mar ’16,3
Liquid Social,Comprehensive Influencer Monetization Tools,New York City,Social Media Marketing,Jan ’17,3
Unity Influence,Influencer marketing for everyone,San Francisco,Influencer Marketing,Mar ’17,5
Smync,The Social Brand Advocacy Platform,Chicago,Social Media Platforms,Aug ’14,11
Wordperks,Micro-endorsements for social media users.,Chicago,Social Media Marketing,May ’14,10
AdMoar,Matching Brands & Online Influencers,New York City,Influencer Marketing,Mar ’14,11
ThreadMeUp,"We empower marketers, designers, and influencers to create and sell products online.",Chicago,Logistics,Jul ’14,35
Gatsby,"Gatsby is the sleekest, smartest promotion platform.",Santa Monica,Influencer Marketing,Jan ’16,19
Canard Influencers,Give your products a voice with influencers,London,Social Media Marketing,Feb ’16,10
Ghostlamp,Fund your passion by creating content in collaboration with your favourite brands.,Iceland,Mobile Application,Mar ’15,11
Bee Technologies Inc.,Bee allows people to endorse their favorite companies for $0.10 per engagement.,Los Angeles,Reviews and Recommendations,Feb ’17,3
SushiVid,SushiVid connects brands to influencers for sponsorships,Petaling Jaya,Social Media Marketing,Mar ’16,5
Billion Dollar Boy,A Global Influencer Marketing Agency Targeting Male Audiences.,London,Social Media Marketing,May ’13,11
JetSpread,JetSpread offers a Real Time Programmatic Social Endorsement ecosystem,New York City,Social Media Marketing,Jun ’16,4
Exclusive Label,"Connecting fashion manufacturers directly with their customers, community and influencers",New York City,Fashion Tech,May ’15,6
TrulyCast,Find Influencers by Location,Dubai,Social Media Monitoring,Mar ’16,6
Sociafluence,Influencer Marketing Platform for Brands & Influencers,Delhi,Online Marketplaces,Dec ’15,5
Collabor8 App,Tinder for Influencer Marketing,Draper,Social Media Marketing,Oct ’16,2
Trendly,Trendly is pioneering the relationship between people and brands.,Boulder,Mobile Commerce,Jun ’16,4
The Katadhin Company,Content+Commerce Consulting for Brands and Retailers,Raleigh,Content Marketing,Apr ’16,2
Control The Flow,Telling Brand Stories With Trusted Voices,Los Angeles,Social Media Marketing,May ’15,13
Mediakix,Influencer Marketing Agency,Santa Monica,Social Media Marketing,Sep ’15,7
AudienceMojo,Influencer marketing platform for niche lifestyle brands,San Francisco,Social Media Marketing,Sep ’16,1
Strix,Connecting streamers and devs,Pittsburgh,Video Streaming,Dec ’16,2
Bold Digital Strategy,Indepth Analytics & Campaign Management Platform for Brands and Agencies,Vancouver,Social Media Marketing,Nov ’16,2
Capteev,Influence Platform for Brands,Paris,Platform For Influencers,Sep ’16,2
Klippit,Influencer Marketing Platform,Atlanta,Social Media Marketing,Dec ’16,1
CreatorDen,Marketplace for influencers and brands,Istanbul,Platform For Influencers,Jul ’16,4
Clusoo,Influencer audience analysis and influencer recommendation,Berlin,Influencer Marketing,Apr ’16,8
Wusk,Influencer marketing through eSports.,San Francisco,eSports,May ’14,11
Trenzi,Influencer marketing platform,Seattle,Social Media Marketing,Aug ’15,10
FamePick,Connecting advertisers to celebrities for digital endorsements.,Los Altos,Apps,Aug ’16,7
VoxFeed,Influencers Marketplace,Guadalajara,Performance Marketing,Sep ’13,35
Clever Girls ®,Influencer Marketing Agency,NaN,Social Media Marketing,Feb ’12,27
"
Stilnest""",Helps Influencers become product brands,Berlin,Influencer Marketing,Sep ’13,56
HireInfluence,Influencer Marketing Strategies,Houston,Content Creators,Apr ’14,35
Bent Pixels,Global digital media company,Las Vegas,Video Streaming,Mar ’15,11
Keepface,Influencer Marketing Platform,Baku,Social Media Marketing,Jun ’16,5
Fanzee,We make viral marketing look easy with Social Media Advocacy,Boulder,Social Media Marketing,Mar ’16,5
Chatterbox Technologies,Connecting brands to the right content creators,Delhi,Social Media Marketing,May ’16,32
Influencers Required,Social media product placement made easy,London,Influencer Marketing,Jun ’15,11
Vicinitive,Share an experience.,Chicago,Brand Marketing,May ’16,5
Fanbloom,Helping brands and influencers collaborate at scale.,Cincinnati,Social Media Marketing,Jan ’16,28
Syndicate,Uber for Content,Federal Territory of Kuala Lumpur,Content Marketing,May ’16,3
UserGems [YC S14],Identify and engage Micro-Influencers among your own users,San Francisco,Influencer Marketing,Jun ’16,4
Tailify,The Home of Influencers,London,Influencer Marketing,Nov ’13,23
Skycob,YouTube influencers search,San Francisco,Social Media Marketing,Apr ’17,3
Tinflur,Blog Evaluation. Made Easy.,Vancouver,Public Relations,May ’15,6
SMOKSHO,Female Social Celebrities Creating Sponsored Content,Los Angeles,Social Media Marketing,Apr ’15,4
NextMakers,The best matchmaker for brands and content creators,Seoul,Social Media Marketing,Sep ’15,4
GetEvangelized,helping brands engage micro celebrities and influencers,Mumbai,Celebrity,Apr ’15,32
MAN ON A MISSION,Men's Magazine & Influencer Agency,Berlin,Magazine,Jul ’15,13
InfluenceLogic,Smarter influencer marketing software.,Phoenix,Online Video Advertising,Sep ’16,2
kasitoko,Programmatic Influencer Marketing Technology,Bilbao,Influencer Marketing,May ’16,6
blogfoster,blogfoster is the leading platform for scalable Influencer and Blog Marketing.,Berlin,Social Media Marketing,Jul ’13,49
Hypetap,Influencer marketing platform,Melbourne,Social Media Marketing,Apr ’14,22
Octoly,Octoly connects brands with thousands of online influencers,Paris,Social Media Marketing,Jun ’14,20
Upfluence,Applying big data technologies to influencer marketing,Lyon,Content Marketing,Mar ’16,6
AdLemons,Influencer & Content Marketing Platform,Valencia,Social Media Platforms,Jul ’11,35
Intellyo,Customer First Corporate Publishing,Vienna,SEO,Oct ’16,14
Black Ace Media,Media company focuses on Mobile Social media.,Toronto,iPhone,Feb ’17,5
Ventafun,Ventafun is the meeting point between influencers and companies,Málaga,Platform For Influencers,Dec ’14,7
Influencer Swap,The World's Largest Fashion and Beauty Influencer Community,London,Events,Oct ’16,3
Myscore by Publicfast,Measure your influence on Facebook,San Francisco,Influencer Marketing,Jul ’14,16
Livby,Live mobile shopping network for the next generation of shoppers.,Los Angeles,Mobile Commerce,Dec ’16,9
Lootpop,Marketplace for freebies.,Malaysia,Lead Generation,Apr ’16,5
MediaMuse,Managed Content Marketing for Startups.,Baltimore,Brand Marketing,May ’16,3
ROI Influencer Media,The Media Solution for Influencer Marketing,New York City,Internet Marketing,Feb ’16,7
Shambles,Influencer Marketing,Italy,Influencer Marketing,Dec ’16,2
NIBSTR,connecting brands with influencers,Palo Alto,Platform For Influencers,Dec ’15,8
influmint,Brand Campaign Creator and Marketplace for Instagram,Los Angeles,Brand Marketing,Dec ’16,2
HOLLYFY,Branded entertainment marketplace.,Los Angeles,Brand Marketing,Oct ’15,36
Boxseat Fan,Influencer Marketing Agency Specializing in Sports,Los Angeles,Social Media Marketing,May ’16,2
Open Nest,We are a group of creative problem solvers committed to work that matters.,Los Angeles,Influencer Marketing,Dec ’16,8
Fango,Influencer marketing at scale,San Francisco,Social Media Marketing,Dec ’15,2
CreatorIQ,The software platform that powers the leading enterprises in influencer marketing.,Culver City,Social Media Marketing,Feb ’17,4
Insense,Google AdSense for Social Influencer Marketing,New York City,Platform For Influencers,Mar ’17,2
Exposely,A self-serve social advertising platform connecting brands with online influencers.,Los Angeles,Social Media Platforms,May ’14,13
INSPIRED PLANIT,Data-driven platform connecting Top Influencers to Travel Brands,Austin,Travel & Tourism,Aug ’16,3
POUR,Micro influencer marketing.,San Francisco,Brand Marketing,Oct ’16,8
Koodzo,The AirBnb and Match.com of Marketing,Montreal,Influencer Marketing,Apr ’16,8
Hashtrends Philippines,Trending Funny Pics,Philippines,Entertainment Industry,Feb ’17,2
Content Flair,Digital Marketing Agency,Los Angeles,SEO,Nov ’16,6
INTO,Where local businesses reach agency signed influencers,Sydney,Modeling,Aug ’15,7
PowerSpike,Sponsorships Marketplace for Live Content,Syracuse,Video Streaming,Apr ’16,3
SalesSalvage.com,A Global Growth Hacking Agency,London,Marketing Automation,Jan ’16,1
Spacetime Inc.,MR Community Network,San Diego,Social Network,Nov ’16,1
Susurrus,Marketplace for automated influencer marketing campaigns,Dubai,Match-Making,May ’15,12
Freestak,Influencer Marketing Platform,London,Influencer Marketing,Nov ’16,7
Muxy,Google Adwords for Twitch.tv,Austin,eSports,Dec ’16,2
scrunch,Data-driven Influencer Marketing Platform.,Brisbane,Social Media Marketing,Apr ’15,20
Wefluence,Influencer marketing through brand relationships,Los Angeles,Fashion Tech,Sep ’15,2
Referanza,Customer recommendation marketing platform,Stockholm,Social Media Advertising,May ’14,6
Hashtag Lifestyle,NaN,New York City,Social Media Marketing,Oct ’16,6
IGModel Search - ModelPayApp,App for brands to discover and pay models and influencers for endorsement deals.,Los Angeles,Mobile Commerce,Jan ’15,2
Skreem,Noise to Voice,Bengaluru,Social Media Marketing,Nov ’16,3
United Influencers,Digital Influencer Marketing Agency,Oslo,Content Marketing,Dec ’15,2
ShoutQ,The Worlds First Open Marketplace for ShoutOut's,Los Angeles,Social Media Platforms,Oct ’14,11
Nqyer,LinkedIn for influencers,Hamburg,Platform For Influencers,Jul ’15,9
Real-time Outsource,Social Media Agency,Fresno,Social Media Marketing,May ’14,1
Netfluencers,AdWords for Facebook content creators,Hamilton,Internet Marketing,Jan ’15,14
Piggybank Unlock / Earn,We drive your targeted audience to your business.,Delhi,Location Based Services,Feb ’16,1
Letturs,The easiest way to send newsletters,Orlando,Email Newsletters,Apr ’17,1
ninetylabs,The football influencer agency,London,Mobile Advertising,May ’16,4
Swipy,Tinder for Fashion,Frankfurt,Lead Generation,Jun ’15,3
Pulpkey,Brands collaborate with social media content creators to make branded content at a scale,Bengaluru,Mobile Advertising,Dec ’15,9
Postforpost,Platform for promotion barter in social networks – collaboration among influencers,San Francisco,Mobile Consumer,Dec ’15,4
Moather,MENA's first influencer marketing tool!,Dubai,Social Media Marketing,Dec ’15,8
boogie,multicultural mktg agency helping brands capture the attn of today's generation.,Brooklyn,Social Media Marketing,Nov ’14,3
Fromote - Influencer Marketing Platform,Reach millions of people on Social Media with Influencers,Delhi,Social Media Platforms,Jan ’15,4
Dimpl,Empowering social media influencers.,St. Louis,Social Media Marketing,May ’16,4
Styletrack,Affiliate Marketing for Fashion Bloggers.,São Paulo,Social Media Marketing,Oct ’16,2
Fanzone,Empowering athletes to become their own media channels,Stockholm,Influencer Marketing,Nov ’14,11
Bloggers España,Influencer marketing platform,Madrid,Blogging Platforms,Nov ’15,2
Chrono.gg,Digital distribution platform for games,Huntsville,PC Gaming,Jun ’16,14
Mesh,An influencer’s best friend.,Boston,Content Marketing,Feb ’17,5
Influencity,Influencer Marketing Software,Madrid,Advertising Platforms,May ’16,6
Social ARMM,Articulating Influencer Value for Brands & Talent,New York City,Entertainment Industry,Jul ’16,3
Untapdt,Untapdt makes it simple for brands to collaborate with talent and promote brand awareness.,New York City,Social Media Marketing,Sep ’16,5
iconKOL,Marketplace for finding and hiring bloggers in China,Shanghai,Influencer Marketing,Jan ’17,2
Coded Friends,TMZ for all relationship drama,West Hollywood,Video Streaming,Apr ’17,6
Statusphere,Connecting Brands with Micro-influencers,Orlando,Influencer Marketing,Apr ’17,1
Never Say Die,NaN,Detroit,Brand Marketing,May ’15,2
"
Buzzweb""",Influencer marketing platform,San Francisco,Influencer Marketing,Mar ’17,1
Mens.Daily.Style,The most targeted menswear Instagram profile,Puerto Rico,Influencer Marketing,Apr ’16,1
The Offline Tour,Music Tour for Youtubers,Los Angeles,Social Media Marketing,Jun ’15,1
b00st.me,Influencer Marketing and Relations agency,Berlin,Social Media Platforms,Oct ’16,2
Moju,Search engine to find relevant Instagram influencers.,London,Influencer Marketing,Dec ’16,4
Phlex Group,NaN,Dallas,Consulting,Apr ’16,1
"
StyleLike""",SHOP FASHION DIRECTLY FROM INSTAGRAM,Berlin,Fashion Tech,Mar ’16,2
INFLC,Influencer Marketing Platform,Los Angeles,Brand Marketing,Oct ’16,1
lagranja.co,Digital agency for those who can't pay a digital agency,Buenos Aires Province,Web Design,Apr ’16,1
Being Latino,Millenial Hispanic Marketing,New York City,Social Media Marketing,Jan ’16,1
Reachbird.io,Influencer Marketing Automation in Social Media,Munich,Social Media Marketing,Apr ’16,3
KashKlik,Pay-Per-Click Marketplace for Influence Marketing,Haifa,Social Media Marketing,Dec ’16,4
Avalanche,An influencer marketing management tool,London,Social Media Marketing,Aug ’16,2
Surgge,scalable word of mouth marketing,Delhi,Advertising Platforms,Sep ’15,5
UNITIATE,International business network for young professionals (LinkedIn),Hong Kong,Higher Education,Nov ’15,1
Tiendus,Sell digital products,Mexico City,Influencer Marketing,Oct ’14,6
Faves Asia,Better than Instagram Explore,Singapore,Technology,Dec ’16,1
Blogmint - Influencer Marketing Platform,Online Marketplace for Influencer Marketing,Noida,Social Media Marketing,Sep ’15,2
Cando S.A,"-A Tinder for brands, to match them with the photo you are about to share.-",Lima,Social Media Marketing,Dec ’16,3
TeraReach,Influencer Marketing Firm,Delhi,Brand Marketing,Jun ’15,12
SparkWoo,A platform where brands can connect with influencers to make sponsored content.,Austin,Advertising Platforms,Nov ’16,1
nora,Visit a local store. Post about it on social media. Enjoy your free product.,Munich,Local Businesses,Nov ’15,4
Ykone,"Influencer Marketing for Luxury Brands in Paris, New York, Dubaï and Bangalore.",Paris,Influencer Marketing,May ’16,3
Buzzaar.eu,word of mouth and influence platform,Moscow,Social Media Marketing,Feb ’16,2
SoCu,SoCu - an Influencer Marketplace,Dallas,Influencer Marketing,Mar ’17,3
The Platform,Connecting Music Users with Makers,Auckland,Music Services,Oct ’16,1
Pixelated Pinto,Boutique social media + PR firm,Vancouver,Public Relations,Jul ’16,2
Garage Media,An Agency with differential approach to all things digital!,Delhi,Content Marketing,May ’17,2
Gnack,Programmatic Influencer Marketing,San Marcos,Platform For Influencers,Dec ’15,8
Trendmeon,Social Network Influencer marketing platform,Ukraine,Mobile Advertising,Dec ’14,2
Digital Streamers,Influencers Marketing Agency,London,Social Media Marketing,Oct ’16,7
Gaddr,"All social feeds, profiles & billions of people. In one Username.",Gothenburg,Brand Marketing,Sep ’15,7
SocialCXN,Marketplace platform connecting brands with the right social media influencers,Boston,Hospitality,Mar ’17,2
Mefitted,Airbnb for Beauty,Singapore,Beauty,Jul ’15,3
Monita,Instagram Influencer PR Marketplace,Tokyo,Advertising Platforms,Apr ’16,2
Beatly,NaN,Stockholm,Brand Marketing,Aug ’16,1
"
Hunt Muse""",We find Influencers emails by Location and #Hashtag and automate influencer marketing,Monterrey,Social Media Marketing,Jan ’17,3
Influo,LinkedIn for brands & media,Gent,Social Media Marketing,May ’15,2
Suadeo GmbH & Co. KG,Die Automatisierung des Influencer Marketings.,Cologne,Performance Marketing,Jun ’16,2
SponsorMio,Authentic Influencer Marketing,Munich,Social Media Marketing,Sep ’16,2
Evolved Talent Agency,Representing Creators & Esports Players,Amsterdam,eSports,Jan ’17,6
indaHash,Platform for campaigns with digital influencers,Warsaw,Influencer Marketing,Jan ’16,6
BRDG.social,Access the Black Millennial market,Los Angeles,Virtual Reality,May ’16,3
FanTeamz,Disruptive new crowd-marketing platform,London,Social Media Marketing,Sep ’15,7
Qoruz,Influencer Search Engine,Delhi,Social Media Marketing,Jan ’17,3
FlipperSmack,"Brand Influencer Discovery, Connection, & Management Platform",Jacksonville,Social Media Marketing,Aug ’16,3
BIG Indie Games,Connecting great games with YouTubers,Paris,Platform For Influencers,Oct ’16,1
Adinflu,Influencer Marketing platform transforming digital social advertising,Bengaluru,Social Media Marketing,Apr ’17,1
Induco,The Bridge Between You and the Audience You Need To Reach,Detroit,Influencer Marketing,Feb ’16,1
Webfluential,Marketing through social influencers,Johannesburg,Influencer Marketing,Jan ’14,13
Hulimail,Find the influencers in your audience,Bristol,Startups,Sep ’14,3
Cordurouy,"We combine data, talent and premium intellectual property.",Los Angeles,Artist Management,Mar ’17,2
HypeQ,Intelligent influence driven sign up lists.,Glasgow,Marketing,Mar ’15,5
PT. Mamo Rae Indonesia,an end to end online influencer marketing platform,Special Capital Region of Jakarta,Social Media Platforms,Jun ’15,4
Points Rocket,Gamified environment for brands & micro-influencers,São Paulo,Gamification,Apr ’16,5
Kornerz,Matchmaker for brands and digital influencers,Belo Horizonte,Shopping,Apr ’15,7
Tapbrand,Top influencer marketing platform connecting brands and influencers worldwide,London,Social Media Marketing,Aug ’16,5
Melilim Fu,Melilim Fu is a China cosmetics and fashion social media influencer.,Beijing,China Internet,Aug ’16,1
Unrtd.co I Unrated Media,The Art of Curating Culture,Paris,Influencer Marketing,Nov ’16,3
Influencer,Influencer Marketing Agency,London,Social Media Marketing,May ’16,3
Socialous,Revolutionary Social Marketing Strategy,Toronto,Social Media Marketing,Nov ’14,2
LabelUp,Influencer Marketing Platform for Instagram,Russia,Advertising Platforms,Oct ’15,5
NDYD,Music Promotion & Blog,Berlin,Music Services,Nov ’15,3
Rep - Influencer Marketing,Influencer marketplace,Los Angeles,Social Media Marketing,Apr ’17,2
RePostable.com,Social Selling & Influencer Marketing Made Easy,Henderson,Lead Generation,Aug ’16,1
Amp Social,Data Driven Influencer Marketing,Detroit,Social Media Marketing,Apr ’16,2
FabFollow,Social Media Platform for Brands & Influencers,Zurich,Social Media Platforms,Feb ’17,1
CatJira,Web platform 4 marketers to discover & work with social media influencers.,Singapore,Social Media Marketing,Mar ’16,1
Quovis,Multi-Platform Network for Digital Creators,Houston,Social Media Platforms,May ’15,4
FameClub,Easiest way for Youtubers & Instagrammers to receive free products from brands to review.,Nottingham,Brand Marketing,Nov ’15,2
CrowdArchitects,mobile self-publishing platform,Erfurt,Mobile Advertising,Apr ’16,3
SheSpeaks,Influencer Marketing with 250K Influencers,New York City,Market Research,Mar ’14,3
Influencer Marketing Hub,"Influencer Marketing Hub | Top Influencers, Platforms and Case Studies",Copenhagen,Social Media Marketing,Oct ’16,6
Billycart,crowdtesting and review service,Melbourne,Retail Technology,Feb ’16,2
Cleverflow,Influencer marketing platform,Mexico City,Brand Marketing,Sep ’15,1
JUSTCOZ,Advocate marketing automation,Oakland,Social Media Marketing,Jun ’16,6
Growtheo,The robot which manages your influence on Twitter,France,Twitter Applications,Jul ’15,1
Webbyou.com Srl,Socially Responsible Hosting & Influencer Intelligence (Webbyou),Province of Catania,Web Hosting,May ’16,1
Weavler,Linkedin for artisans,Stockholm,Marketing,Dec ’16,3
HitHop.co,Social Commerce strictly for Hip Hop Culture,Los Angeles,Hip Hop,Mar ’17,2
CrescendoSPeak,Influencer Markting Platform,Delhi,Crowdsourcing,Jul ’16,2
Watcfy,Social intelligence platform for influencer marketing,Singapore,Influencer Marketing,Jun ’15,6
Jabber Haus,Talent Management for Influencers,Los Angeles,Influencer Marketing,May ’16,1
E3lanSaudi,Saudi Influencers Marketing,Jeddah,Twitter Applications,Jul ’15,3
Brand Visage Communications,A leading digital marketing company,Delhi,SEO,Sep ’16,1
Profilyser,Cyber-physical social search engine,Troyes,Twitter Applications,Sep ’15,1
Model Village,Platform to create micro-influencer campaigns with agency-signed models,London,Influencer Marketing,Apr ’17,2
Skreem Technologies,Platform to connect brands and influencers,Bengaluru,Platform For Influencers,Apr ’17,2
BYGmusic,A New Form of Sponsorship,Los Angeles,Musicians,Dec ’16,3
DOBEDO,Start-up,Madrid,Android,Nov ’16,2
Buzz&Go,Influence Marketing platform for travel brands,Paris,Social Media Marketing,Nov ’16,2
Julius - Influencer Marketing Platform,Influencer Marketing Platform,New York City,Social Media Marketing,Apr ’17,1
SCRA2CH,"Taking nail art, beauty and fashion to the next level.",Kolkata,Beauty,Jan ’16,5
MODA creative,Brands Advertising with Influencers,Australia,Mobile Advertising,Sep ’14,4
Beecode,Spread your event,Lecce,Events,Mar ’16,2
INFLURY,Automated Influencer Marketing Software,Berlin,Social Media Marketing,Apr ’17,2
webguerillas Munich,Product (re)launch campaign; corporate campaign,Munich,Web Design,Sep ’16,3
Speakerbox,A mobile broadcasting platform for multi-channel networks.,Stockholm,Broadcasting,Oct ’15,6
YouCollide,We help the long tail of YouTubers grow their audience,Malmö,Content Creators,Apr ’15,4
SOCIAL BOND,social influence community,Dallas,Brand Marketing,Apr ’17,1
Brand Escape Marketing Group,Social Media Marketing Agency that helps brands achieve their goals,New York City,Social Media Marketing,Apr ’17,2
Network Insight,Influencer Marketing Plattform based on scientific algorithm,Germany,E-Commerce Platforms,Apr ’17,4
SwayBrand,Saas marketplace: influencers upload content + events; brands push to social or sponsor,Chicago,Influencer Marketing,Apr ’17,1
CROWN + CONQUER,N/A,Los Angeles,Events,Mar ’17,4
Soculite,Premium Influencer Marketing Platform,London,Social Media Marketing,Mar ’17,1
Modern View Media,NaN,Istanbul,Influencer Marketing,Mar ’17,1
"
WOMADE.net""",We connect Brands and Influencers,Italy,Content Marketing,Feb ’17,1
Gulp,Leading Marketplace Connecting Brands to Creators for Branded Content Creation,Hampshire,Social Media Platforms,Feb ’17,2
CampaignDeus,"Benchmarking, scoring & reporting in Influencer Marketing space",London,Social Media Marketing,Jan ’17,3
indaHash,molding the future for social media digital communication,Warsaw,Social Media Marketing,Jan ’17,5
Munndy,Marketing tool for reaching social media influencers near your venue,San Francisco,Influencer Marketing,Dec ’16,1
Hypechamp,Better way to sponsor streamers,Los Angeles,Video Streaming,Dec ’16,2
MOTHERSHIP Marketing,Marketing for Games,Cologne,Mobile Advertising,Nov ’16,3
